Order,Stn,Block,Grid,Date,Surveyors,Sampled,Y0Count,Y0Weight,Y1Count,Y1Weight,Y2Count,Y2Weight,Y3Count,Y3Weight,twenty,Substrata,Media,NGR,Easting,Northing
1,CA1,Caldy,150m,15/04/2021,VS_GD,Y,0,0,34,130,0,0,0,0,0,muddy_sand,3,SJ2108083220,-3.186747,53.339971
2,CA2,Caldy,150m,15/04/2021,VS_GD,Y,0,0,0,0,1,9,0,0,0,fine_sand,4,SJ2123083220,-3.184495,53.339993
3,CA3,Caldy,150m,15/04/2021,VS_GD,Y,0,0,14,73,0,0,0,0,0,fine_sand,4,SJ2138083220,-3.182242,53.340015
4,CA4,Caldy,150m,15/04/2021,VS_GD,Y,0,0,10,37,12,135,0,0,231,muddy_sand,3,SJ2108083370,-3.186785,53.341319
5,CA5,Caldy,150m,15/04/2021,VS_GD,Y,0,0,33,146,4,33,1,9,38,fine_sand,4,SJ2138083370,-3.182280,53.341363
6,CA6,Caldy,150m,15/04/2021,VS_GD,Y,0,0,84,285,0,0,0,0,0,muddy_sand,3,SJ2153083370,-3.180027,53.341386
7,CA7,Caldy,150m,15/04/2021,RD_ST,Y,0,0,24,90,7,68,0,0,68,muddy_sand,3,SJ2168083370,-3.177775,53.341408
8,CA8,Caldy,150m,15/04/2021,RD_ST,Y,0,0,28,112,3,13,0,0,0,fine_sand,4,SJ2183083370,-3.175523,53.341430
9,CA9,Caldy,150m,15/04/2021,VS_GD,Y,0,0,29,91,0,0,0,0,0,muddy_sand,3,SJ2198083370,-3.173270,53.341452
10,CA10,Caldy,150m,15/04/2021,VS_GD,Y,0,0,113,343,1,7,0,0,0,mud,2,SJ2213083370,-3.171018,53.341475
11,CA11,Caldy,150m,15/04/2021,VS_GD,Y,0,0,0,0,0,0,0,0,0,sand,5,SJ2093083520,-3.189074,53.342644
12,CA12,Caldy,150m,15/04/2021,VS_GD,Y,0,0,38,244,45,520,1,10,491,fine_sand,4,SJ2108083520,-3.186822,53.342667
13,CA13,Caldy,150m,15/04/2021,VS_GD,Y,0,0,20,125,23,243,0,0,220,fine_sand,4,SJ2123083520,-3.184570,53.342689
14,CA14,Caldy,150m,15/04/2021,VS_GD,Y,0,0,0,0,1,6,5,62,62,mud,2,SJ2138083520,-3.182317,53.342711
15,CA15,Caldy,150m,15/04/2021,VS_GD,Y,0,0,171,602,0,0,0,0,0,muddy_sand,3,SJ2153083520,-3.180065,53.342734
16,CA16,Caldy,150m,15/04/2021,VS_GD,Y,0,0,66,317,0,0,0,0,0,mud,2,SJ2168083520,-3.177812,53.342756
