length,quantity,year_class,Block
4,0,year0,Caldy
5,0,year0,Caldy
6,0,year0,Caldy
7,0,year0,Caldy
8,0,year0,Caldy
9,0,year0,Caldy
10,0,year0,Caldy
11,0,year0,Caldy
12,0,year0,Caldy
13,0,year0,Caldy
14,0,year0,Caldy
15,0,year0,Caldy
16,0,year0,Caldy
17,0,year0,Caldy
18,0,year0,Caldy
19,0,year0,Caldy
20,0,year0,Caldy
21,0,year0,Caldy
22,0,year0,Caldy
23,0,year0,Caldy
24,0,year0,Caldy
25,0,year0,Caldy
26,0,year0,Caldy
27,0,year0,Caldy
28,0,year0,Caldy
29,0,year0,Caldy
30,0,year0,Caldy
31,0,year0,Caldy
32,0,year0,Caldy
33,0,year0,Caldy
34,0,year0,Caldy
35,0,year0,Caldy
36,0,year0,Caldy
37,0,year0,Caldy
38,0,year0,Caldy
39,0,year0,Caldy
40,0,year0,Caldy
41,0,year0,Caldy
42,0,year0,Caldy
43,0,year0,Caldy
44,0,year0,Caldy
45,0,year0,Caldy
46,0,year0,Caldy
47,0,year0,Caldy
48,0,year0,Caldy
49,0,year0,Caldy
50,0,year0,Caldy
4,0,year1,Caldy
5,0,year1,Caldy
6,0,year1,Caldy
7,0,year1,Caldy
8,0,year1,Caldy
9,0,year1,Caldy
10,0,year1,Caldy
11,0,year1,Caldy
12,0,year1,Caldy
13,0,year1,Caldy
14,0,year1,Caldy
15,0,year1,Caldy
16,26,year1,Caldy
17,26,year1,Caldy
18,26,year1,Caldy
19,106,year1,Caldy
20,237,year1,Caldy
21,317,year1,Caldy
22,449,year1,Caldy
23,607,year1,Caldy
24,739,year1,Caldy
25,264,year1,Caldy
26,449,year1,Caldy
27,132,year1,Caldy
28,26,year1,Caldy
29,0,year1,Caldy
30,26,year1,Caldy
31,0,year1,Caldy
32,0,year1,Caldy
33,0,year1,Caldy
34,0,year1,Caldy
35,0,year1,Caldy
36,0,year1,Caldy
37,0,year1,Caldy
38,0,year1,Caldy
39,0,year1,Caldy
40,0,year1,Caldy
41,0,year1,Caldy
42,0,year1,Caldy
43,0,year1,Caldy
44,0,year1,Caldy
45,0,year1,Caldy
46,0,year1,Caldy
47,0,year1,Caldy
48,0,year1,Caldy
49,0,year1,Caldy
50,0,year1,Caldy
4,0,year2,Caldy
5,0,year2,Caldy
6,0,year2,Caldy
7,0,year2,Caldy
8,0,year2,Caldy
9,0,year2,Caldy
10,0,year2,Caldy
11,0,year2,Caldy
12,0,year2,Caldy
13,0,year2,Caldy
14,0,year2,Caldy
15,0,year2,Caldy
16,0,year2,Caldy
17,0,year2,Caldy
18,0,year2,Caldy
19,0,year2,Caldy
20,4,year2,Caldy
21,0,year2,Caldy
22,4,year2,Caldy
23,4,year2,Caldy
24,13,year2,Caldy
25,26,year2,Caldy
26,9,year2,Caldy
27,44,year2,Caldy
28,39,year2,Caldy
29,65,year2,Caldy
30,57,year2,Caldy
31,48,year2,Caldy
32,31,year2,Caldy
33,13,year2,Caldy
34,0,year2,Caldy
35,0,year2,Caldy
36,0,year2,Caldy
37,0,year2,Caldy
38,0,year2,Caldy
39,0,year2,Caldy
40,0,year2,Caldy
41,0,year2,Caldy
42,0,year2,Caldy
43,0,year2,Caldy
44,0,year2,Caldy
45,0,year2,Caldy
46,0,year2,Caldy
47,0,year2,Caldy
48,0,year2,Caldy
49,0,year2,Caldy
50,0,year2,Caldy
4,0,year0,Mostyn
5,0,year0,Mostyn
6,0,year0,Mostyn
7,0,year0,Mostyn
8,0,year0,Mostyn
9,0,year0,Mostyn
10,0,year0,Mostyn
11,0,year0,Mostyn
12,0,year0,Mostyn
13,0,year0,Mostyn
14,0,year0,Mostyn
15,0,year0,Mostyn
16,0,year0,Mostyn
17,0,year0,Mostyn
18,0,year0,Mostyn
19,0,year0,Mostyn
20,0,year0,Mostyn
21,0,year0,Mostyn
22,0,year0,Mostyn
23,0,year0,Mostyn
24,0,year0,Mostyn
25,0,year0,Mostyn
26,0,year0,Mostyn
27,0,year0,Mostyn
28,0,year0,Mostyn
29,0,year0,Mostyn
30,0,year0,Mostyn
31,0,year0,Mostyn
32,0,year0,Mostyn
33,0,year0,Mostyn
34,0,year0,Mostyn
35,0,year0,Mostyn
36,0,year0,Mostyn
37,0,year0,Mostyn
38,0,year0,Mostyn
39,0,year0,Mostyn
40,0,year0,Mostyn
41,0,year0,Mostyn
42,0,year0,Mostyn
43,0,year0,Mostyn
44,0,year0,Mostyn
45,0,year0,Mostyn
46,0,year0,Mostyn
47,0,year0,Mostyn
48,0,year0,Mostyn
49,0,year0,Mostyn
50,0,year0,Mostyn
4,0,year1,Mostyn
5,0,year1,Mostyn
6,0,year1,Mostyn
7,0,year1,Mostyn
8,12,year1,Mostyn
9,12,year1,Mostyn
10,33,year1,Mostyn
11,21,year1,Mostyn
12,29,year1,Mostyn
13,45,year1,Mostyn
14,33,year1,Mostyn
15,50,year1,Mostyn
16,41,year1,Mostyn
17,33,year1,Mostyn
18,50,year1,Mostyn
19,21,year1,Mostyn
20,25,year1,Mostyn
21,33,year1,Mostyn
22,0,year1,Mostyn
23,0,year1,Mostyn
24,0,year1,Mostyn
25,0,year1,Mostyn
26,0,year1,Mostyn
27,0,year1,Mostyn
28,0,year1,Mostyn
29,0,year1,Mostyn
30,0,year1,Mostyn
31,0,year1,Mostyn
32,0,year1,Mostyn
33,0,year1,Mostyn
34,0,year1,Mostyn
35,0,year1,Mostyn
36,0,year1,Mostyn
37,0,year1,Mostyn
38,0,year1,Mostyn
39,0,year1,Mostyn
40,0,year1,Mostyn
41,0,year1,Mostyn
42,0,year1,Mostyn
43,0,year1,Mostyn
44,0,year1,Mostyn
45,0,year1,Mostyn
46,0,year1,Mostyn
47,0,year1,Mostyn
48,0,year1,Mostyn
49,0,year1,Mostyn
50,0,year1,Mostyn
4,0,year2,Mostyn
5,0,year2,Mostyn
6,0,year2,Mostyn
7,0,year2,Mostyn
8,0,year2,Mostyn
9,0,year2,Mostyn
10,0,year2,Mostyn
11,0,year2,Mostyn
12,0,year2,Mostyn
13,0,year2,Mostyn
14,0,year2,Mostyn
15,0,year2,Mostyn
16,1,year2,Mostyn
17,4,year2,Mostyn
18,5,year2,Mostyn
19,14,year2,Mostyn
20,20,year2,Mostyn
21,5,year2,Mostyn
22,13,year2,Mostyn
23,3,year2,Mostyn
24,16,year2,Mostyn
25,13,year2,Mostyn
26,24,year2,Mostyn
27,28,year2,Mostyn
28,5,year2,Mostyn
29,3,year2,Mostyn
30,3,year2,Mostyn
31,0,year2,Mostyn
32,0,year2,Mostyn
33,0,year2,Mostyn
34,0,year2,Mostyn
35,0,year2,Mostyn
36,0,year2,Mostyn
37,0,year2,Mostyn
38,0,year2,Mostyn
39,0,year2,Mostyn
40,0,year2,Mostyn
41,0,year2,Mostyn
42,0,year2,Mostyn
43,0,year2,Mostyn
44,0,year2,Mostyn
45,0,year2,Mostyn
46,0,year2,Mostyn
47,0,year2,Mostyn
48,0,year2,Mostyn
49,0,year2,Mostyn
50,0,year2,Mostyn
4,0,year0,Mostyn Deep
5,0,year0,Mostyn Deep
6,0,year0,Mostyn Deep
7,0,year0,Mostyn Deep
8,0,year0,Mostyn Deep
9,0,year0,Mostyn Deep
10,0,year0,Mostyn Deep
11,0,year0,Mostyn Deep
12,0,year0,Mostyn Deep
13,0,year0,Mostyn Deep
14,0,year0,Mostyn Deep
15,0,year0,Mostyn Deep
16,0,year0,Mostyn Deep
17,0,year0,Mostyn Deep
18,0,year0,Mostyn Deep
19,0,year0,Mostyn Deep
20,0,year0,Mostyn Deep
21,0,year0,Mostyn Deep
22,0,year0,Mostyn Deep
23,0,year0,Mostyn Deep
24,0,year0,Mostyn Deep
25,0,year0,Mostyn Deep
26,0,year0,Mostyn Deep
27,0,year0,Mostyn Deep
28,0,year0,Mostyn Deep
29,0,year0,Mostyn Deep
30,0,year0,Mostyn Deep
31,0,year0,Mostyn Deep
32,0,year0,Mostyn Deep
33,0,year0,Mostyn Deep
34,0,year0,Mostyn Deep
35,0,year0,Mostyn Deep
36,0,year0,Mostyn Deep
37,0,year0,Mostyn Deep
38,0,year0,Mostyn Deep
39,0,year0,Mostyn Deep
40,0,year0,Mostyn Deep
41,0,year0,Mostyn Deep
42,0,year0,Mostyn Deep
43,0,year0,Mostyn Deep
44,0,year0,Mostyn Deep
45,0,year0,Mostyn Deep
46,0,year0,Mostyn Deep
47,0,year0,Mostyn Deep
48,0,year0,Mostyn Deep
49,0,year0,Mostyn Deep
50,0,year0,Mostyn Deep
4,0,year1,Mostyn Deep
5,0,year1,Mostyn Deep
6,0,year1,Mostyn Deep
7,0,year1,Mostyn Deep
8,0,year1,Mostyn Deep
9,0,year1,Mostyn Deep
10,0,year1,Mostyn Deep
11,0,year1,Mostyn Deep
12,0,year1,Mostyn Deep
13,0,year1,Mostyn Deep
14,0,year1,Mostyn Deep
15,0,year1,Mostyn Deep
16,0,year1,Mostyn Deep
17,0,year1,Mostyn Deep
18,0,year1,Mostyn Deep
19,0,year1,Mostyn Deep
20,1,year1,Mostyn Deep
21,0,year1,Mostyn Deep
22,2,year1,Mostyn Deep
23,0,year1,Mostyn Deep
24,0,year1,Mostyn Deep
25,1,year1,Mostyn Deep
26,2,year1,Mostyn Deep
27,2,year1,Mostyn Deep
28,2,year1,Mostyn Deep
29,3,year1,Mostyn Deep
30,1,year1,Mostyn Deep
31,1,year1,Mostyn Deep
32,2,year1,Mostyn Deep
33,0,year1,Mostyn Deep
34,0,year1,Mostyn Deep
35,1,year1,Mostyn Deep
36,0,year1,Mostyn Deep
37,0,year1,Mostyn Deep
38,0,year1,Mostyn Deep
39,0,year1,Mostyn Deep
40,0,year1,Mostyn Deep
41,0,year1,Mostyn Deep
42,0,year1,Mostyn Deep
43,0,year1,Mostyn Deep
44,0,year1,Mostyn Deep
45,0,year1,Mostyn Deep
46,0,year1,Mostyn Deep
47,0,year1,Mostyn Deep
48,0,year1,Mostyn Deep
49,0,year1,Mostyn Deep
50,0,year1,Mostyn Deep
4,0,year2,Mostyn Deep
5,0,year2,Mostyn Deep
6,0,year2,Mostyn Deep
7,0,year2,Mostyn Deep
8,0,year2,Mostyn Deep
9,0,year2,Mostyn Deep
10,0,year2,Mostyn Deep
11,0,year2,Mostyn Deep
12,0,year2,Mostyn Deep
13,0,year2,Mostyn Deep
14,0,year2,Mostyn Deep
15,0,year2,Mostyn Deep
16,0,year2,Mostyn Deep
17,0,year2,Mostyn Deep
18,0,year2,Mostyn Deep
19,0,year2,Mostyn Deep
20,0,year2,Mostyn Deep
21,0,year2,Mostyn Deep
22,0,year2,Mostyn Deep
23,0,year2,Mostyn Deep
24,0,year2,Mostyn Deep
25,0,year2,Mostyn Deep
26,0,year2,Mostyn Deep
27,4,year2,Mostyn Deep
28,0,year2,Mostyn Deep
29,17,year2,Mostyn Deep
30,4,year2,Mostyn Deep
31,13,year2,Mostyn Deep
32,39,year2,Mostyn Deep
33,69,year2,Mostyn Deep
34,26,year2,Mostyn Deep
35,95,year2,Mostyn Deep
36,78,year2,Mostyn Deep
37,39,year2,Mostyn Deep
38,35,year2,Mostyn Deep
39,9,year2,Mostyn Deep
40,0,year2,Mostyn Deep
41,4,year2,Mostyn Deep
42,0,year2,Mostyn Deep
43,0,year2,Mostyn Deep
44,0,year2,Mostyn Deep
45,0,year2,Mostyn Deep
46,0,year2,Mostyn Deep
47,0,year2,Mostyn Deep
48,0,year2,Mostyn Deep
49,0,year2,Mostyn Deep
50,0,year2,Mostyn Deep
4,0,year0,No 3 Buoy
5,0,year0,No 3 Buoy
6,0,year0,No 3 Buoy
7,0,year0,No 3 Buoy
8,0,year0,No 3 Buoy
9,0,year0,No 3 Buoy
10,0,year0,No 3 Buoy
